No,분류,분류,분류,분류,2020년,2020년,2020년,2021년,2021년,2021년
No,분류,분류,분류,분류,발생량,발생량,발생량,발생량,발생량,발생량
No,분류,분류,분류,분류,톤/년,톤/년,%,톤/년,톤/년,%
No,분류,분류,분류,분류,원자료,전기대비증감,전기대비증감률,원자료,전기대비증감,전기대비증감률
573,전북,재활용 가능자원 분리배출,폐합성수지류,PET병,"7,864.5",0,0,"7,124.7",-739.8,-9.4
574,전북,재활용 가능자원 분리배출,폐합성수지류,기타,"2,502.9",0,0,"3,308.3",805.4,32.2
575,전북,재활용 가능자원 분리배출,폐고무류,폐고무류,787.2,0,0,102.3,-684.9,-87
576,전북,재활용 가능자원 분리배출,폐유리병류,폐유리병류,"7,749.2",0,0,"7,598.3",-150.9,-1.9
577,전북,재활용 가능자원 분리배출,폐의류,폐의류,200,0,0,"2,067.1","1,867.1",933.6
578,전북,재활용 가능자원 분리배출,폐섬유류,폐섬유류,11.9,0,0,0,-11.9,-100
579,전북,재활용 가능자원 분리배출,조명폐기물,조명폐기물,286.4,0,0,278.3,-8.1,-2.8
580,전북,재활용 가능자원 분리배출,폐전지류,폐전지류,156.9,0,0,149.4,-7.5,-4.8
581,전북,재활용 가능자원 분리배출,영농폐기물,농약용기류,690,0,0,485.3,-204.7,-29.7
582,전북,재활용 가능자원 분리배출,영농폐기물,폐비닐,"13,447.6",0,0,"22,816","9,368.4",69.7
583,전북,재활용 가능자원 분리배출,폐식용유,폐식용유,131.3,0,0,4,-127.3,-97
584,전북,재활용 가능자원 분리배출,폐전기전자제품,폐전기전자제품,"1,413.8",0,0,"2,120.1",706.3,50
585,전북,재활용 가능자원 분리배출,폐가구류,폐가구류,414.6,0,0,"1,017.2",602.6,145.3
586,전북,재활용 가능자원 분리배출,기타,기타,"1,501.9",0,0,"2,219",717.1,47.7
587,전북,재활용 가능자원 분리배출,재활용 잔재물,재활용 잔재물,"36,980.8",0,0,"27,842.8","-9,138",-24.7
588,전북,음식물류 폐기물 분리배출,음식물류 폐기물 분리배출,음식물류 폐기물 분리배출,"221,705.9",0,0,"211,665.5","-10,040.4",-4.5
589,전남,합계,합계,합계,"650,020.5",0,0,"650,360",339.5,0.1
590,전남,종량제방식 등 혼합배출,소계,소계,"367,104.8",0,0,"343,309.4","-23,795.4",-6.5
591,전남,종량제방식 등 혼합배출,가연성,소계,"333,564.7",0,0,"306,137.2","-27,427.5",-8.2
592,전남,종량제방식 등 혼합배출,가연성,폐지류,"109,804.3",0,0,"81,263.1","-28,541.2",-26
593,전남,종량제방식 등 혼합배출,가연성,폐합성수지류,"85,776.2",0,0,"68,499.1","-17,277.1",-20.1
594,전남,종량제방식 등 혼합배출,가연성,폐고무류,"5,741",0,0,"4,928.9",-812.1,-14.1
595,전남,종량제방식 등 혼합배출,가연성,폐섬유류,"19,868.8",0,0,"19,794.7",-74.1,-0.4
596,전남,종량제방식 등 혼합배출,가연성,음식물류 폐기물,"23,935",0,0,"65,546.5","41,611.5",173.9
597,전남,종량제방식 등 혼합배출,가연성,폐목재류,"9,805.4",0,0,"11,820.1","2,014.7",20.5
598,전남,종량제방식 등 혼합배출,가연성,기타,"78,634",0,0,"54,284.8","-24,349.2",-31
599,전남,종량제방식 등 혼합배출,불연성,소계,"31,985",0,0,"36,684.9","4,699.9",14.7
600,전남,종량제방식 등 혼합배출,불연성,폐금속류,"9,148.3",0,0,"8,163.6",-984.7,-10.8
601,전남,종량제방식 등 혼합배출,불연성,폐유리류,"11,433.9",0,0,"9,265.9","-2,168",-19
602,전남,종량제방식 등 혼합배출,불연성,폐토사류,"2,057.7",0,0,"1,731.8",-325.9,-15.8
603,전남,종량제방식 등 혼합배출,불연성,폐타일 및 도자기류,718.3,0,0,797.7,79.4,11.1
604,전남,종량제방식 등 혼합배출,불연성,연탄재,"1,592.4",0,0,771.2,-821.2,-51.6
605,전남,종량제방식 등 혼합배출,불연성,기타,"7,034.4",0,0,"15,954.7","8,920.3",126.8
606,전남,종량제방식 등 혼합배출,건설폐재류,건설폐재류(공사장생활폐기물),144.4,0,0,230,85.6,59.3
607,전남,종량제방식 등 혼합배출,기타(배출불명등),기타(배출불명등),"1,410.7",0,0,257.3,"-1,153.4",-81.8
608,전남,재활용 가능자원 분리배출,소계,소계,"88,980.2",0,0,"110,916.7","21,936.5",24.7
609,전남,재활용 가능자원 분리배출,폐지류,종이팩,914.1,0,0,"3,642.4","2,728.3",298.5
610,전남,재활용 가능자원 분리배출,폐지류,기타,"10,524.4",0,0,"22,920.6","12,396.2",117.8
611,전남,재활용 가능자원 분리배출,고철류,고철류,"2,225.3",0,0,"1,899.9",-325.4,-14.6
612,전남,재활용 가능자원 분리배출,금속캔,금속캔,"1,519.7",0,0,"2,328",808.3,53.2
613,전남,재활용 가능자원 분리배출,폐합성수지류,비닐류,"5,604.5",0,0,"3,941.2","-1,663.3",-29.7
614,전남,재활용 가능자원 분리배출,폐합성수지류,발포수지류,664.6,0,0,"2,067.3","1,402.7",211.1
615,전남,재활용 가능자원 분리배출,폐합성수지류,PET병,"3,164.7",0,0,"5,241.6","2,076.9",65.6
616,전남,재활용 가능자원 분리배출,폐합성수지류,기타,"2,748",0,0,"6,174.1","3,426.1",124.7
617,전남,재활용 가능자원 분리배출,폐고무류,폐고무류,88.1,0,0,48.7,-39.4,-44.7
618,전남,재활용 가능자원 분리배출,폐유리병류,폐유리병류,"4,048",0,0,"5,494.4","1,446.4",35.7
619,전남,재활용 가능자원 분리배출,폐의류,폐의류,816.5,0,0,"2,143.3","1,326.8",162.5
620,전남,재활용 가능자원 분리배출,폐섬유류,폐섬유류,26,0,0,27,1,3.8
621,전남,재활용 가능자원 분리배출,조명폐기물,조명폐기물,429.1,0,0,490.4,61.3,14.3
